component_id,component_kind,furniture,primitive_count,terminal_like_geometry,previous_terminal_evidence,confidence
component-candidate-shape-region-066e8ad0e7654cff,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-0771bb11fe6c347d,enclosure,false,6,false,true,high
component-candidate-shape-region-0a02724ece05df31,circular_symbol,false,1,false,false,low
component-candidate-shape-region-0b053d4e7a47606f,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-0c41e12219f869d7,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-16df4d7df3b94a27,enclosure,false,3,false,true,medium
component-candidate-shape-region-1790c5fb3a4f437c,chassis_ground,false,2,true,false,low
component-candidate-shape-region-1975579e8330101e,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-1acff69cbd97d3ef,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-25e5f8f85abff207,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-26f0be566d528333,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-2ca0cb53e282cb32,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-30f9ed02532ba956,chassis_ground,false,1,false,true,low
component-candidate-shape-region-320c9114d1207736,circular_symbol,false,0,false,true,unresolved
component-candidate-shape-region-3272c9e5f76ee915,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-3870cd0a20d0c6fc,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-3a66374832b3abdc,chassis_ground,false,2,false,true,low
component-candidate-shape-region-3bf0724f52f58c73,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-41ff861aeda09fb7,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-428e96f28d67cd74,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-432be0a200811b76,chassis_ground,false,3,false,true,medium
component-candidate-shape-region-4832f6d587796b56,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-4903417d6d8a60bb,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-490fbd2b29b3f1a7,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-4cae53cce7f2640f,chassis_ground,false,3,true,true,low
component-candidate-shape-region-4f1e5de1ef1830bd,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-558bc00c87382a7d,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-590ab65693883ba3,chassis_ground,false,1,true,true,low
component-candidate-shape-region-62af50129e3fe173,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-64afaa2a14134a2a,circular_symbol,false,0,false,true,unresolved
component-candidate-shape-region-68f8e8348812d438,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-6a7001c24fe4c252,chassis_ground,false,2,true,true,medium
component-candidate-shape-region-6d1657afad6589b8,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-6db397f237a44fb3,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-710412374a750fc8,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-723c1696a8e2964f,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-763aea0b9f4edcf6,circular_symbol,false,1,false,true,low
component-candidate-shape-region-78b59e38d66ee8d6,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-845947b0afd7451a,circular_symbol,false,0,false,true,unresolved
component-candidate-shape-region-899a2442ecba3be6,chassis_ground,false,1,false,false,low
component-candidate-shape-region-8aaf19bae4f38f60,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-8f016fd0df97845d,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-9aef4bd701b22c45,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-9c4d423986244e04,circular_symbol,false,1,false,true,medium
component-candidate-shape-region-ab1a3cf72a77dbc4,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-b061e4623d55459e,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-b2a4933bc728db93,chassis_ground,false,7,false,false,low
component-candidate-shape-region-b9c802997a4ef73a,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-bfae05a427189376,circular_symbol,false,2,false,true,low
component-candidate-shape-region-c2335cc575d107b1,circular_symbol,false,0,false,true,unresolved
component-candidate-shape-region-c244ae6aed4c92eb,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-c3cc9cfef2567dcc,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-c98f6566b0672535,circular_symbol,false,2,true,true,low
component-candidate-shape-region-d1aefcaca5503ad9,circular_symbol,false,0,false,true,unresolved
component-candidate-shape-region-d82ce67010a762de,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-df7510eb4fd9cf57,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-f29a073b76f906b7,chassis_ground,false,2,true,true,medium
component-candidate-shape-region-f44cca4519db62ac,circular_symbol,false,0,false,false,unresolved
component-candidate-shape-region-fea4c5f807abee83,circular_symbol,false,0,false,false,unresolved
