value,conductor_segments,topology_nodes,topology_edges,endpoints,boundaries_resolved,boundaries_conflicted,wires,electrical_nets,shared_segments,validation_errors,validation_warnings,gaps_bridged,conflicted_endpoint_ids
4,294,692,871,222,36,4,42,11,1,0,32,0,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
5,294,692,871,222,36,4,42,11,1,0,32,0,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
6,294,692,871,222,36,4,42,11,1,0,32,0,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
6.2,294,693,872,223,36,4,42,11,4,0,32,0,endpoint-candidate-0f49557b9296a20e;endpoint-candidate-1e803d5d649d2160;endpoint-candidate-34c5799c91140f7f;endpoint-candidate-8695eea350129fa2
6.4,294,693,872,223,36,4,42,11,4,0,32,0,endpoint-candidate-0f49557b9296a20e;endpoint-candidate-1e803d5d649d2160;endpoint-candidate-34c5799c91140f7f;endpoint-candidate-8695eea350129fa2
6.6,294,693,872,223,36,4,42,11,4,0,32,0,endpoint-candidate-0f49557b9296a20e;endpoint-candidate-1e803d5d649d2160;endpoint-candidate-34c5799c91140f7f;endpoint-candidate-8695eea350129fa2
6.8,294,693,872,223,36,4,42,11,4,0,32,0,endpoint-candidate-0f49557b9296a20e;endpoint-candidate-1e803d5d649d2160;endpoint-candidate-34c5799c91140f7f;endpoint-candidate-8695eea350129fa2
6.9,294,693,872,223,36,4,42,11,4,0,32,0,endpoint-candidate-0f49557b9296a20e;endpoint-candidate-1e803d5d649d2160;endpoint-candidate-34c5799c91140f7f;endpoint-candidate-8695eea350129fa2
6.95,294,693,872,223,36,4,42,11,4,0,32,0,endpoint-candidate-0f49557b9296a20e;endpoint-candidate-1e803d5d649d2160;endpoint-candidate-34c5799c91140f7f;endpoint-candidate-8695eea350129fa2
7.0,294,693,877,213,36,4,42,10,4,0,31,5,endpoint-candidate-0f49557b9296a20e;endpoint-candidate-1e803d5d649d2160;endpoint-candidate-34c5799c91140f7f;endpoint-candidate-8695eea350129fa2
7.05,294,693,878,211,36,4,41,10,4,0,30,6,endpoint-candidate-0f49557b9296a20e;endpoint-candidate-1e803d5d649d2160;endpoint-candidate-34c5799c91140f7f;endpoint-candidate-8695eea350129fa2
7.1,294,693,878,211,36,4,41,10,4,0,30,6,endpoint-candidate-0f49557b9296a20e;endpoint-candidate-1e803d5d649d2160;endpoint-candidate-34c5799c91140f7f;endpoint-candidate-8695eea350129fa2
7.15,294,693,878,211,36,4,41,10,4,0,30,6,endpoint-candidate-0f49557b9296a20e;endpoint-candidate-1e803d5d649d2160;endpoint-candidate-34c5799c91140f7f;endpoint-candidate-8695eea350129fa2
7.2,294,693,878,211,36,4,41,10,4,0,30,6,endpoint-candidate-0f49557b9296a20e;endpoint-candidate-1e803d5d649d2160;endpoint-candidate-34c5799c91140f7f;endpoint-candidate-8695eea350129fa2
7.4,294,693,878,211,36,4,41,10,4,0,30,6,endpoint-candidate-0f49557b9296a20e;endpoint-candidate-1e803d5d649d2160;endpoint-candidate-34c5799c91140f7f;endpoint-candidate-8695eea350129fa2
7.6,294,693,878,211,36,4,41,10,4,0,30,6,endpoint-candidate-0f49557b9296a20e;endpoint-candidate-1e803d5d649d2160;endpoint-candidate-34c5799c91140f7f;endpoint-candidate-8695eea350129fa2
7.8,294,693,878,211,36,4,41,10,4,0,30,6,endpoint-candidate-0f49557b9296a20e;endpoint-candidate-1e803d5d649d2160;endpoint-candidate-34c5799c91140f7f;endpoint-candidate-8695eea350129fa2
8,294,692,877,210,36,4,41,10,1,0,30,6,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
9,294,692,877,210,36,4,41,10,1,0,30,6,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
10,294,692,877,210,36,4,41,10,1,0,30,6,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
